id,Population,RuralPercentage,MedianIncome,CollegeDegreePercentage,Trust,BigfootSighting,TreeCoveragePercentage,NationalPark,county,state
1,7982.3090447176,100,47841.5057611006,39.230174546961,37.2848216345257,0,31.0608054645901,0,alabama,autauga
2,34925.9395312786,0,70463.1235804729,68.2917497507887,61.6919710408798,0,38.6500451756255,1,alabama,baldwin
3,34699.2481443229,100,78958.7149218296,45.9982540146082,38.1576964587168,0,34.5867346143998,1,alabama,barbour
4,42532.1484354193,10,20951.841964307,49.5342627680543,48.3875580786885,1,34.2756171457148,0,alabama,bibb
5,7758.72105101025,0,31143.3020318671,50.9592163824617,42.0190349667468,0,26.7045996527092,1,alabama,blount
6,43938.0729990963,0,60115.0125092899,60.438880817536,56.8479953594149,0,29.4037594595137,0,alabama,bullock
7,14638.6336913301,100,51816.5270279061,59.7671121315502,54.7532003525745,0,27.9459766654795,1,alabama,butler
8,36304.1301183247,10,21523.2343918774,18.6900189714391,25,1,30.5612789690573,0,alabama,calhoun
9,19186.0129269007,0,61208.2204982255,53.9820558157211,48.3358248415077,0,41.3176664986067,0,alabama,chambers
10,20175.128657329,0,32624.9316042606,53.1174443454375,53.3882840914088,0,21.0286412919136,0,alabama,cherokee
11,32174.9074661719,100,31447.4375446231,59.171592652687,49.6350483151959,0,20.8047385340969,0,alabama,chilton
12,29171.4259026896,100,32627.5557198509,47.8059602520276,46.0632419063346,0,44.0826098448629,0,alabama,choctaw
13,14093.910040571,10,29577.4785979124,47.0529863235945,46.6904962759891,1,47.2796627961729,0,alabama,clarke
14,35537.356571874,100,35015.6477473284,39.5640352682258,42.3473558337379,0,25.1229413077034,1,alabama,clay
15,33970.2042687162,0,46427.3136975511,40.4223879835504,35.1220347199746,0,37.2115262190888,0,alabama,cleburne
16,12982.972637398,10,42370.0133723659,26.7705477312687,25,1,51.7731250935065,1,alabama,coffee
17,18538.9072367954,100,31755.2435939344,27.6676807022382,25.2209139457126,0,6.09582374046291,0,alabama,colbert
18,29544.7331843651,100,65093.1365872974,19.9124056427844,25,0,27.7000010892849,1,alabama,conecuh
19,11216.1747299326,0,62685.0886241564,47.3279539453726,37.1525808135391,0,23.7797554992143,0,alabama,coosa
20,22985.7701316816,0,61445.8690576486,39.0229874868139,33.3002959340146,0,29.586845346783,0,alabama,covington
21,34394.15349024,100,37608.1758792626,58.4441641263206,56.6655494445249,0,36.6274651607748,1,alabama,crenshaw
22,33823.2441201732,100,50997.8000699498,32.8214276497736,30.9137078558041,0,43.7989902334305,0,alabama,cullman
23,46235.1049180009,0,77275.9073450949,47.6522547897384,35.9006520247895,0,35.8391818126008,1,alabama,dale
24,5037.17735240582,0,69447.0791737702,33.9356045689441,29.6710070943584,0,29.7087989329206,0,alabama,dallas
25,19426.3262818429,100,62736.6959586923,44.6679839991263,43.3046024008574,0,28.5491968837768,0,alabama,de kalb
26,45159.2218815924,100,74415.7733175264,52.6943221343947,54.4802958493882,0,43.0878395267386,1,alabama,elmore
27,12274.7151392094,0,69874.8521116601,36.8834082874808,33.8303601921177,0,24.7074386349263,0,alabama,escambia
28,48774.2358994268,100,32922.5052407806,40.7682017573577,40.1773867617779,0,17.3893521967603,0,alabama,etowah
29,33502.7817962443,0,64723.8175359129,35.2249534733518,30.1993297664947,0,12.6159524319109,0,alabama,fayette
30,16472.02681901,10,46294.0570494637,12.4525259056055,25,1,38.5985242431526,0,alabama,franklin
31,47809.6346302388,110,61621.9433081426,37.4759760173961,36.7723594841467,1,33.4136291132569,0,alabama,geneva
32,48039.9007587805,0,47519.9141509295,38.6075993729687,39.1727299417108,0,17.7595113036669,0,alabama,greene
33,17294.9491433533,110,49245.2938995861,31.3557414487034,29.0519754153412,1,30.6177290604619,0,alabama,hale
34,11137.8023993556,10,51962.5577709189,14.2325213777792,25,1,43.797040361695,0,alabama,henry
35,38530.0311743717,100,77211.7873825413,41.3339360683855,42.8421023006516,0,8.77729371204735,1,alabama,houston
36,26820.3747347574,0,51865.6497206088,43.5959253495035,34.2796705851042,0,36.2144497108294,1,alabama,jackson
37,44898.2027356796,0,61923.6166756169,40.5763645881618,47.0773309258152,0,30.1301517818984,0,alabama,jefferson
38,14633.7622499871,0,56958.6950323325,61.6960635919558,53.2129762128727,0,12.5653639955157,0,alabama,lamar
39,24736.2327523452,0,47922.7416613453,40.6993696944242,39.0879763491366,0,32.016330935661,1,alabama,lauderdale
40,14319.0180984105,100,79168.0440031038,40.0710705320803,37.1461056466667,0,23.1682481627535,0,alabama,lawrence
41,31512.0244450752,110,60235.498989217,21.3075390257819,27.8303286133711,1,41.5642875899137,0,alabama,lee
